bookTitle	bookSeries	bookAuthors	ratingValue	ratingCount	reviewCount	Plot	NumberofPages	Published	Characters	Setting	Url
The Hunger Games	(The Hunger Games #1)	Suzanne Collins	4.33	6413424	172616	Could you survive on your own in the wild, with every one out to make sure you don't live to see the morning?In the ruins of a place once known as North America lies the nation of Panem, a shining Capitol surrounded by twelve outlying districts. The Capitol is harsh and cruel and keeps the districts in line by forcing them all to send one boy and one girl between the ages of twelve and eighteen to participate in the annual Hunger Games, a fight to the death on live TV.Sixteen-year-old Katniss Everdeen, who lives alone with her mother and younger sister, regards it as a death sentence when she steps forward to take her sister's place in the Games. But Katniss has been close to dead before—and survival, for her, is second nature. Without really meaning to, she becomes a contender. But if she is to win, she will have to start making choices that weight survival against humanity and life against love.	374	September 14th 2008	Katniss Everdeen, Peeta Mellark, Cato (Hunger Games), Primrose Everdeen, Gale Hawthorne, Effie Trinket, Haymitch Abernathy, Cinna, President Coriolanus Snow, Rue, Flavius, Lavinia (Hunger Games), Marvel, Glimmer, Clove, Foxface, Thresh, Greasy Sae, Madge Undersee, Caesar Flickerman, Claudius Templesmith, Octavia (Hunger Games), Portia (hunger Games)	District 12, Panem, Capitol, Panem, Panem	https://www.goodreads.com/book/show/2767052-the-hunger-games
The Fault in Our Stars	NaN	John Green	4.20	3575591	155851	Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a gorgeous plot twist named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten.Insightful, bold, irreverent, and raw, The Fault in Our Stars is award-winning author John Green's most ambitious and heartbreaking work yet, brilliantly exploring the funny, thrilling, and tragic business of being alive and in love.	313	January 10th 2012	Hazel Grace Lancaster, Augustus Waters, Isaac	Indianapolis, Indiana, Amsterdam	https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars
A Prayer for Owen Meany	NaN	John Irving	4.23	286719	13851	Eleven-year-old Owen Meany, playing in a Little League baseball game in Gravesend, New Hampshire, hits a foul ball and kills his best friend's mother. Owen doesn't believe in accidents; he believes he is God's instrument. What happens to Owen after that 1953 foul is both extraordinary and terrifying. At moments a comic, self-deluded victim, but in the end the principal, tragic actor in a divine plan, Owen Meany is the most heartbreaking hero John Irving has yet created.	637	1990 by Black	Owen Meany, John Wheelwright	Gravesend, New Hampshire, Toronto, Ontario	https://www.goodreads.com/book/show/4473.A_Prayer_for_Owen_Meany
Gone with the Wind	NaN	Margaret Mitchell	4.30	1078968	19913	Scarlett O'Hara, the beautiful, spoiled daughter of a well-to-do Georgia plantation owner, must use every means at her disposal to claw her way out of the poverty she finds herself in after Sherman's March to the Sea.	1037	April 1st 1999	"Scarlett O'Hara, Rhett Butler, Ashley Wilkes, Melanie Hamilton Wilkes, Wade Hampton Hamilton, Ella Lorena Kennedy, Eugenie Victoria ""Bonnie Blue"" Butler, Beau Wilkes, India Wilkes, Honey Wilkes, John  Wilkes, Gerald O'Hara, Ellen O'Hara, Suellen O'Hara, Carreen O'Hara, Eulalie, Pauline, Mammy Abigail, Prissy, Pork, Dilcey, Charles Hamilton, Frank Kennedy, Belle Watling, Jonas Wilkerson, Emmie Slattery, Will Benteen, Aunt Pittypat Hamilton, Uncle Peter"	Atlanta, Georgia	https://www.goodreads.com/book/show/18405.Gone_with_the_Wind
The Hitchhiker's Guide to the Galaxy	(The Hitchhiker's Guide to the Galaxy #1)	Douglas Adams	4.22	1446923	30393	"Seconds before the Earth is demolished to make way for a galactic freeway, Arthur Dent is plucked off the planet by his friend Ford Prefect, a researcher for the revised edition of The Hitchhiker's Guide to the Galaxy who, for the last fifteen years, has been posing as an out-of-work actor.Together this dynamic pair begin a journey through space aided by quotes from The Hitchhiker's Guide (""A towel is about the most massively useful thing an interstellar hitchhiker can have"") and a galaxy-full of fellow travelers: Zaphod Beeblebrox—the two-headed, three-armed ex-hippie and totally out-to-lunch president of the galaxy; Trillian, Zaphod's girlfriend (formally Tricia McMillan), whom Arthur tried to pick up at a cocktail party once upon a time zone; Marvin, a paranoid, brilliant, and chronically depressed robot; Veet Voojagig, a former graduate student who is obsessed with the disappearance of all the ballpoint pens he bought over the years."	193	June 23rd 2007	Zaphod Beeblebrox, Arthur Dent, Ford Prefect, Trillian, Marvin, the paranoid android, Slartibartifast	NaN	https://www.goodreads.com/book/show/386162.The_Hitchhiker_s_Guide_to_the_Galaxy
The Giving Tree	NaN	Shel Silverstein	4.37	911293	17916	"""Once there was a tree...and she loved a little boy.""So begins a story of unforgettable perception, beautifully written and illustrated by the gifted and versatile Shel Silverstein.Every day the boy would come to the tree to eat her apples, swing from her branches, or slide down her trunk...and the tree was happy. But as the boy grew older he began to want more from the tree, and the tree gave and gave and gave.This is a tender story, touched with sadness, aglow with consolation. Shel Silverstein has created a moving parable for readers of all ages that offers an affecting interpretation of the gift of giving and a serene acceptance of another's capacity to love in return."	64	October 7th 1964	NaN	NaN	https://www.goodreads.com/book/show/370493.The_Giving_Tree
Wuthering Heights	NaN	Emily Brontë	3.86	1350769	37587	You can find the redesigned cover of this edition HERE.This best-selling Norton Critical Edition is based on the 1847 first edition of the novel. For the Fourth Edition, the editor has collated the 1847 text with several modern editions and has corrected a number of variants, including accidentals. The text is accompanied by entirely new explanatory annotations.New to the fourth Edition are twelve of Emily Bronte's letters regarding the publication of the 1847 edition of Wuthering Heights as well as the evolution of the 1850 edition, prose and poetry selections by the author, four reviews of the novel, and poetry selections by the author, four reviews of the novel, and Edward Chitham's insightful and informative chronology of the creative process behind the beloved work.Five major critical interpretations of Wuthering Heights are included, three of them new to the Fourth Edition. A Stuart Daley considers the importance of chronology in the novel. J. Hillis Miller examines Wuthering Heights's problems of genre and critical reputation. Sandra M. Gilbert assesses the role of Victorian Christianity plays in the novel, while Martha Nussbaum traces the novel's romanticism. Finally, Lin Haire-Sargeant scrutinizes the role of Heathcliff in film adaptations of Wuthering Heights. A Chronology and updated Selected Bibliography are also included.	464	2002 by Norton	Heathcliff, Catherine Earnshaw, Edgar Linton, Isabella Linton, Hindley Earnshaw, Ellen (Nelly) Dean, Mr. Lockwood, Hareton Earnshaw, Catherine Linton, Linton Heathcliff	Yorkshire Dales, England	https://www.goodreads.com/book/show/6185.Wuthering_Heights
The Da Vinci Code	(Robert Langdon #2)	Dan Brown	3.86	1944394	47326	ISBN 9780307277671 moved to this edition.While in Paris, Harvard symbologist Robert Langdon is awakened by a phone call in the dead of the night. The elderly curator of the Louvre has been murdered inside the museum, his body covered in baffling symbols. As Langdon and gifted French cryptologist Sophie Neveu sort through the bizarre riddles, they are stunned to discover a trail of clues hidden in the works of Leonardo da Vinci—clues visible for all to see and yet ingeniously disguised by the painter.Even more startling, the late curator was involved in the Priory of Sion—a secret society whose members included Sir Isaac Newton, Victor Hugo, and Da Vinci—and he guarded a breathtaking historical secret. Unless Langdon and Neveu can decipher the labyrinthine puzzle—while avoiding the faceless adversary who shadows their every move—the explosive, ancient truth will be lost forever.	489	March 28th 2006	Sophie Neveu, Robert Langdon, Sir Leigh Teabing, Silas (The Da Vinci Code), Bezu Fache, Jerome Collet, Manuel Aringarosa, Rémy Legaludec, André Vernet	Paris, London, England, France, England, United Kingdom	https://www.goodreads.com/book/show/968.The_Da_Vinci_Code
The Picture of Dorian Gray	NaN	Oscar Wilde	4.08	974173	31149	Written in his distinctively dazzling manner, Oscar Wilde’s story of a fashionable young man who sells his soul for eternal youth and beauty is the author’s most popular work. The tale of Dorian Gray’s moral disintegration caused a scandal when it ﬁrst appeared in 1890, but though Wilde was attacked for the novel’s corrupting inﬂuence, he responded that there is, in fact, “a terrible moral in Dorian Gray.” Just a few years later, the book and the aesthetic/moral dilemma it presented became issues in the trials occasioned by Wilde’s homosexual liaisons, which resulted in his imprisonment. Of Dorian Gray’s relationship to autobiography, Wilde noted in a letter, “Basil Hallward is what I think I am: Lord Henry what the world thinks me: Dorian what I would like to be—in other ages, perhaps.	272	June 1st 2004	Basil Hallward, Lord Henry Wotton, Sibyl Vane, James Vane, Lady Victoria Wotton, Alan Campbell, Henry Ashton, Adrian Singleton, Lord Staveley, Lady Gwendolen, Lady Narborough, Duchess of Monmouth, Dorian Gray	England, England	https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray
Memoirs of a Geisha	NaN	Arthur Golden	4.12	1724361	30202	A literary sensation and runaway bestseller, this brilliant debut novel presents with seamless authenticity and exquisite lyricism the true confessions of one of Japan's most celebrated geisha.In Memoirs of a Geisha, we enter a world where appearances are paramount; where a girl's virginity is auctioned to the highest bidder; where women are trained to beguile the most powerful men; and where love is scorned as illusion. It is a unique and triumphant work of fiction - at once romantic, erotic, suspenseful - and completely unforgettable.	503	November 22nd 2005	Sayuri Nitta, Mr. Bekku, Ichiro Tanaka, Dr. Crab, Hatsumono, Mameha, Ken Iwamura, Pumpkin, Toshikazu Nobu	Kyoto, Japan	https://www.goodreads.com/book/show/929.Memoirs_of_a_Geisha
