bookTitle	bookSeries	bookAuthors	ratingValue	ratingCount	reviewCount	Plot	NumberofPages	Published	Characters	Setting	Url
Moby-Dick or, the Whale	NaN	Herman Melville	3.51	480811	15758	"""It is the horrible texture of a fabric that should be woven of ships' cables and hawsers. A Polar wind blows through it, and birds of prey hover over it."" So Melville wrote of his masterpiece, one of the greatest works of imagination in literary history. In part, Moby-Dick is the story of an eerily compelling madman pursuing an unholy war against a creature as vast and dangerous and unknowable as the sea itself. But more than just a novel of adventure, more than an encyclopaedia of whaling lore and legend, the book can be seen as part of its author's lifelong meditation on America. Written with wonderfully redemptive humour, Moby-Dick is also a profound inquiry into character, faith, and the nature of perception.This edition of Moby-Dick, which reproduces the definitive text of the novel, includes invaluable explanatory notes, along with maps, illustrations, and a glossary of nautical terms."	654	February 21st 2003	"Elijah, Stubb, Captain Ahab, Ishmael, Queequeg, Starbuck, Tashtego, Dough-boy, Flask, Daggoo, Fedallah, Pippin (""Pip""), Moby Dick, Mapple Priest, Peleg, Bildad, Fleece, Perth, Peter Coffin, Aunt Charity, Mrs Hussey"	Nantucket Island, Massachusetts, Pacific Ocean, Atlantic Ocean, New Bedford, Massachusetts	"/book/show/153747.Moby_Dick_or_the_Whale
"
The Red Tent	NaN	Anita Diamant	4.18	522178	19292	Her name is Dinah. In the Bible, her life is only hinted at in a brief and violent detour within the more familiar chapters of the Book of Genesis that are about her father, Jacob, and his dozen sons. Told in Dinah's voice, this novel reveals the traditions and turmoils of ancient womanhood—the world of the red tent. It begins with the story of her mothers—Leah, Rachel, Zilpah, and Bilhah—the four wives of Jacob. They love Dinah and give her gifts that sustain her through a hard-working youth, a calling to midwifery, and a new home in a foreign land. Dinah's story reaches out from a remarkable period of early history and creates an intimate connection with the past. Deeply affecting, The Red Tent combines rich storytelling with a valuable achievement in modern fiction: a new view of biblical women's society.	324	October 1997 by	Isaac (Bible), Dinah (Bible), Jacob (Bible)	NaN	"/book/show/4989.The_Red_Tent
"
Harry Potter and the Goblet of Fire	(Harry Potter #4)	J.K. Rowling	4.56	2612768	46889	Harry Potter is midway through his training as a wizard and his coming of age. Harry wants to get away from the pernicious Dursleys and go to the International Quidditch Cup with Hermione, Ron, and the Weasleys. He wants to dream about Cho Chang, his crush (and maybe do more than dream). He wants to find out about the mysterious event that's supposed to take place at Hogwarts this year, an event involving two other rival schools of magic, and a competition that hasn't happened for hundreds of years. He wants to be a normal, fourteen-year-old wizard. But unfortunately for Harry Potter, he's not normal - even by wizarding standards.And in his case, different can be deadly.	734	September 28th 2002	Sirius Black, Draco Malfoy, Ron Weasley, Petunia Dursley, Vernon Dursley, Dudley Dursley, Severus Snape, Rubeus Hagrid, Lord Voldemort, Minerva McGonagall, Neville Longbottom, Fred Weasley, George Weasley, Percy Weasley, Ginny Weasley, Arthur Weasley, Molly Weasley, Cho Chang, Cornelius Fudge, Sybil Trelawney, Ludo Bagman, Bartemius Crouch, Bartemius Crouch, Jr., Fleur Delacour, Cedric Diggory, Viktor Krum, Bellatrix Lestrange, Alastor Moody, Rita Skeeter, Charlie Weasley, Bill Weasley, Albus Dumbledore, Harry Potter, Hermione Granger	London, England, Hogwarts School of Witchcraft and Wizardry	"/book/show/6.Harry_Potter_and_the_Goblet_of_Fire
"
The Secret Life of Bees	NaN	Sue Monk Kidd	4.06	1120954	30584	"Set in South Carolina in 1964, The Secret Life of Bees tells the story of Lily Owens, whose life has been shaped around the blurred memory of the afternoon her mother was killed. When Lily's fierce-hearted black ""stand-in mother,"" Rosaleen, insults three of the deepest racists in town, Lily decides to spring them both free. They escape to Tiburon, South Carolina--a town that holds the secret to her mother's past. Taken in by an eccentric trio of black beekeeping sisters, Lily is introduced to their mesmerizing world of bees and honey, and the Black Madonna. This is a remarkable novel about divine female power, a story women will share and pass on to their daughters for years to come."	302	January 28th 2003	Lily Owens, Rosaleen, August Boatwright, June Boatwright, May Boatwright, T. Ray Owens	United States of America, South Carolina, Tiburon, South Carolina	"/book/show/37435.The_Secret_Life_of_Bees
"
Clockwork Angel	(The Infernal Devices #1)	Cassandra Clare	4.32	672366	31913	In a time when Shadowhunters are barely winning the fight against the forces of darkness, one battle will change the course of history forever. Welcome to the Infernal Devices trilogy, a stunning and dangerous prequel to the New York Times bestselling Mortal Instruments series.The year is 1878. Tessa Gray descends into London’s dark supernatural underworld in search of her missing brother. She soon discovers that her only allies are the demon-slaying Shadowhunters—including Will and Jem, the mysterious boys she is attracted to. Soon they find themselves up against the Pandemonium Club, a secret organization of vampires, demons, warlocks, and humans. Equipped with a magical army of unstoppable clockwork creatures, the Club is out to rule the British Empire, and only Tessa and her allies can stop them...	481	August 31st 2010	"Theresa ""Tessa"" Gray, Magnus Bane, William Herondale, James ""Jem"" Carstairs, Jessamine Lovelace, Henry Branwell, Charlotte Branwell, Nathaniel Gray, Camille Belcourt, Sophie Collins"	London, England	"/book/show/7171637-clockwork-angel
"
Harry Potter and the Half-Blood Prince	(Harry Potter #6)	J.K. Rowling	4.57	2454214	39770	The war against Voldemort is not going well; even Muggle governments are noticing. Ron scans the obituary pages of the Daily Prophet, looking for familiar names. Dumbledore is absent from Hogwarts for long stretches of time, and the Order of the Phoenix has already suffered losses.And yet . . .As in all wars, life goes on. The Weasley twins expand their business. Sixth-year students learn to Apparate - and lose a few eyebrows in the process. Teenagers flirt and fight and fall in love. Classes are never straightforward, through Harry receives some extraordinary help from the mysterious Half-Blood Prince.So it's the home front that takes center stage in the multilayered sixth installment of the story of Harry Potter. Here at Hogwarts, Harry will search for the full and complete story of the boy who became Lord Voldemort - and thereby find what may be his only vulnerability.	652	September 16th 2006	Draco Malfoy, Ron Weasley, Petunia Dursley, Vernon Dursley, Dudley Dursley, Severus Snape, Lord Voldemort, Neville Longbottom, Fred Weasley, George Weasley, Ginny Weasley, Arthur Weasley, Molly Weasley, Cornelius Fudge, Peter Pettigrew, Fleur Delacour, Bellatrix Lestrange, Bill Weasley, Luna Lovegood, Nymphadora Tonks, Kreacher, Narcissa Malfoy, Horace Slughorn, Albus Dumbledore, Harry Potter, Hermione Granger, Madam Malkin, Romilda Vane	Hogwarts School of Witchcraft and Wizardry, England	"/book/show/1.Harry_Potter_and_the_Half_Blood_Prince
"
And Then There Were None	NaN	Agatha Christie	4.26	831403	33928	"First, there were ten—a curious assortment of strangers summoned as weekend guests to a little private island off the coast of Devon. Their host, an eccentric millionaire unknown to all of them, is nowhere to be found. All that the guests have in common is a wicked past they're unwilling to reveal—and a secret that will seal their fate. For each has been marked for murder. A famous nursery rhyme is framed and hung in every room of the mansion:""Ten little boys went out to dine; One choked his little self and then there were nine. Nine little boys sat up very late; One overslept himself and then there were eight. Eight little boys traveling in Devon; One said he'd stay there then there were seven. Seven little boys chopping up sticks; One chopped himself in half and then there were six. Six little boys playing with a hive; A bumblebee stung one and then there were five. Five little boys going in for law; One got in Chancery and then there were four. Four little boys going out to sea; A red herring swallowed one and then there were three. Three little boys walking in the zoo; A big bear hugged one and then there were two. Two little boys sitting in the sun; One got frizzled up and then there was one. One little boy left all alone; He went out and hanged himself and then there were none.""When they realize that murders are occurring as described in the rhyme, terror mounts. One by one they fall prey. Before the weekend is out, there will be none. Who has choreographed this dastardly scheme? And who will be left to tell the tale? Only the dead are above suspicion."	264	May 3rd 2004	Justice Lawrence John Wargrave, Vera Elizabeth Claythorne, Philip Lombard, General John Gordon Macarthur, Dr Edward George Armstrong, Anthony James Marston, William Henry Blore, Mr Thomas Rogers, Mrs Ethel Rogers, Emily Caroline Brent, Isaac Morris, Fred Narracott	United Kingdom, Devon Coast, England, Devon, England	"/book/show/16299.And_Then_There_Were_None
"
Middlesex	NaN	Jeffrey Eugenides	4.01	583038	23226	Middlesex tells the breathtaking story of Calliope Stephanides, and three generations of the Greek-American Stephanides family, who travel from a tiny village overlooking Mount Olympus in Asia Minor to Prohibition-era Detroit, witnessing its glory days as the Motor City and the race riots of 1967 before moving out to the tree-lined streets of suburban Grosse Pointe, Michigan. To understand why Calliope is not like other girls, she has to uncover a guilty family secret, and the astonishing genetic history that turns Callie into Cal, one of the most audacious and wondrous narrators in contemporary fiction. Lyrical and thrilling, Middlesex is an exhilarating reinvention of the American epic.	529	September 16th 2003	Calliope Stephanides, Eleutherios Stephanides, Desdemona Stephanides, Sourmelina Zizmo, Miltiades Stephanides, Theodora Stephanides, Chapter Eleven, The Obscure Object, James Zizmo, Michael Antoniou	Bursa, Izmir, Detroit, Michigan, Berlin	"/book/show/2187.Middlesex
"
The Stranger	NaN	Albert Camus	3.99	711122	23521	"Through the story of an ordinary man unwittingly drawn into a senseless murder on an Algerian beach, Camus explored what he termed ""the nakedness of man faced with the absurd."" First published in English in 1946; now in a new translation by Matthew Ward."	123	March 28th 1989	Meursault, Raymond Sintès, Marie Cardona, Salamano	Algeria	"/book/show/49552.The_Stranger
"
The Master and Margarita	NaN	Mikhail Bulgakov	4.29	245027	11693	The first complete, annotated English Translation of Mikhail Bulgakov's comic masterpiece.An audacious revision of the stories of Faust and Pontius Pilate, The Master and Margarita is recognized as one of the essential classics of modern Russian literature. The novel's vision of Soviet life in the 1930s is so ferociously accurate that it could not be published during its author's lifetime and appeared only in a censored edition in the 1960s. Its truths are so enduring that its language has become part of the common Russian speech.One hot spring, the devil arrives in Moscow, accompanied by a retinue that includes a beautiful naked witch and an immense talking black cat with a fondness for chess and vodka. The visitors quickly wreak havoc in a city that refuses to believe in either God or Satan. But they also bring peace to two unhappy Muscovites: one is the Master, a writer pilloried for daring to write a novel about Christ and Pontius Pilate; the other is Margarita, who loves the Master so deeply that she is willing literally to go to hell for him. What ensues is a novel of inexhaustible energy, humor, and philosophical depth, a work whose nuances emerge for the first time in Diana Burgin's and Katherine Tiernan O'Connor's splendid English version.(back cover)	335	March 1996 by	Lucifer, Pontius Pilate, Behemot, Master, Margarita Nicolaevna, Ivan Nikolayevich Ponyryov, Yeshua Ha-Nozri, Mikhail Alexandrovich Berlioz, Hella (The Master and Margarita), Stephan Bogdanovich Likhodeyev, Natasha (The Master and Margarita), Korovyev, Azazello	Moscow, Russia, Jerusalem	"/book/show/117833.The_Master_and_Margarita
"
